id;data;depoimento;depoimento_en
1;01/01/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
2;02/01/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
3;03/01/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
4;04/01/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
5;05/01/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
6;06/01/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
7;07/01/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
8;08/01/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
9;09/01/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
10;10/01/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
11;11/01/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
12;12/01/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
13;13/01/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
14;14/01/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
15;15/01/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
16;16/01/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
17;17/01/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
18;18/01/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
19;19/01/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
20;20/01/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
21;21/01/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
22;22/01/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
23;23/01/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
24;24/01/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
25;25/01/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
26;26/01/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
27;27/01/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
28;28/01/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
29;29/01/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
30;30/01/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
31;31/01/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
32;01/02/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
33;02/02/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
34;03/02/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
35;04/02/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
36;05/02/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
37;06/02/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
38;07/02/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
39;08/02/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
40;09/02/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
41;10/02/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
42;11/02/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
43;12/02/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
44;13/02/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
45;14/02/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
46;15/02/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
47;16/02/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
48;17/02/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
49;18/02/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
50;19/02/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
51;20/02/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
52;21/02/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
53;22/02/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
54;23/02/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
55;24/02/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
56;25/02/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
57;26/02/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
58;27/02/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
59;28/02/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
60;01/03/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
61;02/03/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
62;03/03/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
63;04/03/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
64;05/03/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
65;06/03/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
66;07/03/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
67;08/03/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
68;09/03/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
69;10/03/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
70;11/03/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
71;12/03/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
72;13/03/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
73;14/03/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
74;15/03/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
75;16/03/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
76;17/03/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
77;18/03/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
78;19/03/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
79;20/03/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
80;21/03/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
81;22/03/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
82;23/03/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
83;24/03/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
84;25/03/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
85;26/03/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
86;27/03/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
87;28/03/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
88;29/03/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
89;30/03/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
90;31/03/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
91;01/04/2023;"Ambiente aconchegante e atendimento simpático; comida saborosa.";"Cozy atmosphere and friendly service; tasty food."
92;02/04/2023;Atendimento excelente, mas o tempo de preparo dos pratos é muito longo.;Excellent service, but the preparation time for dishes is too long.
93;03/04/2023;A comida é deliciosa e o serviço é sempre cordial.;The food is delicious and the service is always courteous.
94;04/04/2023;Ótima experiência, com ambiente agradável e equipe atenciosa.;Great experience, with a pleasant atmosphere and attentive staff.
95;05/04/2023;Serviço impecável, porém a demora no preparo compromete a experiência.;Impeccable service, but the delay in preparation affects the experience.
96;06/04/2023;Recomendo pela qualidade dos pratos e simpatia dos funcionários.;I recommend it for the quality of the dishes and the friendliness of the staff.
97;07/04/2023;O restaurante oferece um ótimo atendimento e pratos bem servidos.;The restaurant offers great service and well-served dishes.
98;08/04/2023;O atendimento é bom, mas o preparo dos pratos demora demais.;The service is good, but the preparation of the dishes takes too long.
99;09/04/2023;Local agradável com decoração charmosa e pratos bem apresentados.;Pleasant place with charming decor and well-presented dishes.
100;10/04/2023;A comida tem um sabor único e o ambiente é acolhedor.;The food has a unique taste, and the atmosphere is cozy.
